id,scene,filename,format,ratio,display_location,load_priority,fallback,model,reference_media_id,reference_file,prompt,negative,status,notes
plate-07,The tourists (one human beat),plate-07.png,png,16:9,"chapter 4c, trailside at the mud, p 0.665",lazy,still,nano_banana_pro 2k,c318ad20 (style),ape sheet,"five stylised khaki tourists in a plain game viewer, every telephoto lens raised and pointed left","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art, no children, no photorealistic real people, no smoking, no product in hand",APPROVED CANDIDATE v1,"job 270afedb-05a0-4622-bb0c-b4b567d2d1cd · docs/sheets/plate-07-tourists-v1.jpg · also a good generic game-viewer shape reference, used for the vehicle sheets"
plate-01,"The Church, sheep on a rock",plate-01.png,png,3:2,"ch2 gate, p 0.175",lazy,still,nano_banana_pro 2k,68539174 + c318ad20 (style),pack crop + ape sheet,"single 3/4 plate, white background, costume verbatim","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1,job 8a070b8b-fada-4fa1-90b9-36dc3c50c25c · docs/sheets/plate-01-the-church-sheep-v1.jpg
plate-03,"Monkey Business, baboon on the termite mound",plate-03.png,png,3:2,"ch4a, p 0.455 (image has two copies; crop one)",lazy,still,nano_banana_pro 2k,e6e06b81 + c318ad20 (style),pack crop + ape sheet,"single 3/4 plate, white background, costume verbatim","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1,job 05c36fb1-3727-46df-9a60-fb1a4f29d05c · docs/sheets/plate-03-monkey-business-baboon-v1.jpg
plate-04,"Sapphire OG, leopard on the acacia branch",plate-04.png,png,3:2,"ch4b, p 0.525",lazy,still,nano_banana_pro 2k,72bbb565 + c318ad20 (style),pack crop + ape sheet,"single 3/4 plate, white background, costume verbatim","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1,job f15e9940-25f9-4c7f-b6c6-a2e0538d4347 · docs/sheets/plate-04-sapphire-og-leopard-v1.jpg
plate-05,"Grape Garcia, warthog crossing",plate-05.png,png,3:2,"ch4c, p 0.60",lazy,still,nano_banana_pro 2k,dc33a2bb + c318ad20 (style),pack crop + ape sheet,"single 3/4 plate, white background, costume verbatim","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1,job b1e06963-ff7e-4bc1-99ef-b0d8bc0af4b7 · docs/sheets/plate-05-grape-garcia-warthog-v1.jpg
plate-06,"Nerdz, lemur on the crest",plate-06.png,png,3:2,"ch5, p 0.72",lazy,still,nano_banana_pro 2k,733cedec + c318ad20 (style),pack crop + ape sheet,"single 3/4 plate, white background, costume verbatim","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1,job 5d59bb58-bcb2-4937-b05c-9892f6f62d0c · docs/sheets/plate-06-nerdz-lemur-v1.jpg
plate-02,"GMO, panda in the riverbed",plate-02.png,png,3:2,"ch3, p 0.315",lazy,still,gpt_image_2_5 (after two nano_banana_pro safety-filter rejections),7c0cbb4d + c318ad20,pack crop + ape sheet,"standing still, eyes closed, orange tunic and sash","no text, no labels, no annotations, no watermark, no logos, no frame borders, no background scenery, no extra characters, no babyface, no oversized kawaii eyes, no cannabis leaf clip-art",APPROVED CANDIDATE v1 (came out as a five-view turnaround; use the front view),job c3b739f1-df64-47d8-80bb-853a77264436 · docs/sheets/plate-02-gmo-panda-v1.jpg
vehicle-01,"Truck, front three-quarter",vehicle-01.png,png,16:9,docs / vehicle lock; vehicle-04 is the composition master for chapters 1-6,n/a,n/a,nano_banana_pro 2k,270afedb (shape) + 5779543e (logo) / c318ad20 (style),tourist plate + logo,"crimson body, gold and wood halftone stripe, black roll cage, torn cream awning, spare and jerry can on the bonnet, bull bar, acacia-and-sun emblem on the doors as weathered signwriting, flag roundel on the bonnet, right-hand drive","no text, no lettering, no numbers, no number plate characters, no labels, no watermark, no brand logos, no people, no animals",APPROVED CANDIDATE v1,job ab386978-b193-4a26-a3c1-2cfdc97d98f8 · docs/sheets/vehicle-01-front-three-quarter-v1.jpg
vehicle-02,"Truck, rear three-quarter",vehicle-02.png,png,16:9,docs / vehicle lock; vehicle-04 is the composition master for chapters 1-6,n/a,n/a,nano_banana_pro 2k,270afedb (shape) + 5779543e (logo) / c318ad20 (style),tourist plate + logo,"crimson body, gold and wood halftone stripe, black roll cage, torn cream awning, spare and jerry can on the bonnet, bull bar, acacia-and-sun emblem on the doors as weathered signwriting, flag roundel on the bonnet, right-hand drive","no text, no lettering, no numbers, no number plate characters, no labels, no watermark, no brand logos, no people, no animals",APPROVED CANDIDATE v1,job 250bd26d-899d-4d73-ba71-a6f8802a9bff · docs/sheets/vehicle-02-rear-three-quarter-v1.jpg
vehicle-03,"Truck, right-hand side profile",vehicle-03.png,png,16:9,docs / vehicle lock; vehicle-04 is the composition master for chapters 1-6,n/a,n/a,nano_banana_pro 2k,270afedb (shape) + 5779543e (logo) / c318ad20 (style),tourist plate + logo,"crimson body, gold and wood halftone stripe, black roll cage, torn cream awning, spare and jerry can on the bonnet, bull bar, acacia-and-sun emblem on the doors as weathered signwriting, flag roundel on the bonnet, right-hand drive","no text, no lettering, no numbers, no number plate characters, no labels, no watermark, no brand logos, no people, no animals",APPROVED CANDIDATE v1,job bbdcdaa1-88be-4143-934c-80041c5c8d33 · docs/sheets/vehicle-03-side-profile-v1.jpg
vehicle-04,"Truck, back-row POV interior (master frame, portrait)",vehicle-04.png,png,9:16,docs / vehicle lock; vehicle-04 is the composition master for chapters 1-6,n/a,n/a,nano_banana_pro 2k,270afedb (shape) + 5779543e (logo) / c318ad20 (style),tourist plate + logo,"crimson body, gold and wood halftone stripe, black roll cage, torn cream awning, spare and jerry can on the bonnet, bull bar, acacia-and-sun emblem on the doors as weathered signwriting, flag roundel on the bonnet, right-hand drive","no text, no lettering, no numbers, no number plate characters, no labels, no watermark, no brand logos, no people, no animals",APPROVED CANDIDATE v1,job a0e277d8-6936-42dd-88cf-fc5b35b5b69d · docs/sheets/vehicle-04-back-row-pov-v1.jpg
key-01,Lighting key: Pre-dawn (ch1),key-01.png,png,9:16,grade reference for every chapter generation; also the empty backplate for that chapter,n/a,n/a,nano_banana_pro 2k,a0e277d8 (POV master),vehicle-04,"same interior relit; no people, no hands; bottom-right quarter clear","no text, no labels, no watermark, no logos, no people, no animals, no hands",APPROVED CANDIDATE v1,"job 4708150b-66a2-4403-9485-7e7ddf49bb86 · docs/sheets/key-01-predawn-v1.jpg · steel blue, cold gold band at the horizon, dashboard glow only"
key-02,Lighting key: Hard morning (ch2-3),key-02.png,png,9:16,grade reference for every chapter generation; also the empty backplate for that chapter,n/a,n/a,nano_banana_pro 2k,a0e277d8 (POV master),vehicle-04,"same interior relit; no people, no hands; bottom-right quarter clear","no text, no labels, no watermark, no logos, no people, no animals, no hands",APPROVED CANDIDATE v1,"job ab7f074c-31f5-48b2-8595-64ad2342eb5e · docs/sheets/key-02-morning-v1.jpg · cobalt sky, ochre riverbed, black crisp shadows, dust"
key-03,Lighting key: Noon (ch4),key-03.png,png,9:16,grade reference for every chapter generation; also the empty backplate for that chapter,n/a,n/a,nano_banana_pro 2k,a0e277d8 (POV master),vehicle-04,"same interior relit; no people, no hands; bottom-right quarter clear","no text, no labels, no watermark, no logos, no people, no animals, no hands",APPROVED CANDIDATE v1,"job d557adce-a57a-4d9c-a20b-bd4f6cd57be8 · docs/sheets/key-03-noon-v1.jpg · bleached sky, awning shadow, acacia dapple on the seats as halftone"
key-04,Lighting key: Golden hour (ch5-6),key-04.png,png,9:16,grade reference for every chapter generation; also the empty backplate for that chapter,n/a,n/a,nano_banana_pro 2k,a0e277d8 (POV master),vehicle-04,"same interior relit; no people, no hands; bottom-right quarter clear","no text, no labels, no watermark, no logos, no people, no animals, no hands",APPROVED CANDIDATE v1,"job 73cface6-f481-42d2-a5bd-cdb0bb3f3224 · docs/sheets/key-04-golden-hour-v1.jpg · sun low AHEAD on the trail through the windscreen (plan changed: backlights the window and rims the paw), gold to crimson sky, backlit dust motes"
key-05,Lighting key: Dusk into night (ch7-8),key-05.png,png,9:16,grade reference for every chapter generation; also the empty backplate for that chapter,n/a,n/a,nano_banana_pro 2k,a0e277d8 (POV master),vehicle-04,"same interior relit; no people, no hands; bottom-right quarter clear","no text, no labels, no watermark, no logos, no people, no animals, no hands",APPROVED CANDIDATE v1,"job 3d231186-8ca6-4e51-a551-64f28d145b6e · docs/sheets/key-05-dusk-v1.jpg · crimson band to cobalt to near-black, headlight beams, campfire glow ahead"
kf-01,Key frame ch01: Cough,kf-01.png,png,9:16,"chapter 01, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-01 + rhino + ape + hand,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job 540fc97d-408e-4f23-b1cd-753c16e09d15 · docs/sheets/kf-01-cough-v1.jpg · pre-dawn; rhino staring; hat and sunglasses in the mirror; the viewer pull with LED, the only warm light"
kf-02,Key frame ch02: Bad start,kf-02.png,png,9:16,"chapter 02, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-02 + rhino + ape + sheep + hand,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job 1912ac80-0ce7-483f-bf60-3972216ac629 · docs/sheets/kf-02-bad-start-v1.jpg · tilt, gate post, arm out the right window, sheep on the rock at left"
kf-03,Key frame ch03: First real hit,kf-03.png,png,9:16,"chapter 03, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-02 + monkey + rhino + panda + hand,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job b5d1762c-0827-4ea7-a9c1-62e66a0bdb16 · docs/sheets/kf-03-first-real-hit-v1.jpg · dust burst, jerry can airborne, monkey vaulting in from the right, panda dead ahead"
kf-04a,Key frame ch04a: The ranger,kf-04a.png,png,9:16,"chapter 04a, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-03 + rhino expressions + baboon + device,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job 48b9196f-f3a2-4169-9c16-80f26b3e65ce · docs/sheets/kf-04a-the-ranger-v1.jpg · rhino pull with LED, baboon checking his watch on the mound, dapple"
kf-04b,Key frame ch04b: The clinger,kf-04b.png,png,9:16,"chapter 04b, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-03 + monkey + leopard + rhino,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job acac5afa-8479-47cf-9715-a462cf64fa4a · docs/sheets/kf-04b-the-clinger-v1.jpg · leopard on the branch over the roll bar, monkey upside down with the natural device, leaves on the hat"
kf-04c,Key frame ch04c: The driver and the tourists,kf-04c.png,png,9:16,"chapter 04c, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-03 + ape expressions + warthog + tourists + hand,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1 (rhino absent from the left seat; fix in v2 if the beat needs him),"job 9e5277f9-6b5e-470d-a78e-1af3dd8e81d0 · docs/sheets/kf-04c-the-driver-and-the-tourists-v1.jpg · mud on the lens, driver one-handed pull, warthog crossing, tourist lenses on you, viewer second pull"
kf-05,Key frame ch05: Airborne,kf-05.png,png,9:16,"chapter 05, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-04 + monkey + rhino + lemur + hand,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v2 (strict first person). v1 exterior kept as a poster/social candidate only.,"v2 job 22618b80-9777-4720-bd7a-00e7e5ad915a · docs/sheets/kf-05-airborne-v2.jpg · driver not visible in the hang, acceptable; v1 b57a57af docs/sheets/kf-05-airborne-v1-exterior-poster-only.jpg"
kf-06,Key frame ch06: The reveal,kf-06.png,png,9:16,"chapter 06, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-04 + hand (revealed) + rhino + monkey + ape expressions,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job 16a67355-04bd-4c09-8ff3-409f2097c0d9 · docs/sheets/kf-06-the-reveal-v1.jpg · the paw rimmed gold, window as a lamp, rhino unchanged, monkey turned, sunglasses in the sunlit mirror"
kf-07,Key frame ch07: Camp,kf-07.png,png,9:16,"chapter 07, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,key-05 + line-up + device,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job 76a434a2-ca33-4d99-bd2d-f3bf7dc25022 · docs/sheets/kf-07-camp-v1.jpg · four chairs, three seated, the empty chair, truck, the grow behind, sun-disc sign, fire"
kf-08,Key frame ch08: Afterglow,kf-08.png,png,9:16,"chapter 08, portrait master; start frame for image-to-video","ch1 preload, rest lazy",poster = this frame,nano_banana_pro 2k,vehicle-02 + monkey expressions + device,see 05 generation plan,per-scene spec in 02/05; every word is HTML,"no text, no captions, no logos, no watermark, no human hands, no dark or brown oil",APPROVED CANDIDATE v1,"job b01a6d6e-5001-453b-8acd-0edd7e3caae0 · docs/sheets/kf-08-afterglow-v1.jpg · monkey alone on the back bench under stars, LED and window the only lights"
clip-ch1,Motion test: ch1 Cough,ch1.mp4,mp4 1076x1928 24fps 5s → public/film/ch1/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch1","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),540fc97d,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job cf20e971-f7d7-4cc0-b71c-cc4ed38d9c65 · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch2,Motion test: ch2 Bad start,ch2.mp4,mp4 1076x1928 24fps 5s → public/film/ch2/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch2","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),1912ac80,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job f88f68e4-d810-4e63-96c3-01fed1f1170f · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch3,Motion test: ch3 First real hit,ch3.mp4,mp4 1076x1928 24fps 5s → public/film/ch3/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch3","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),b5d1762c,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job c76fa2cf-3787-4c68-96d2-85453d4e1b0b · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch4a,Motion test: ch4a The ranger,ch4a.mp4,mp4 1076x1928 24fps 5s → public/film/ch4a/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch4a","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),48b9196f,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job 0b41ef64-7593-4d67-ae28-b667e4a6b0ac · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch4b,Motion test: ch4b The clinger,ch4b.mp4,mp4 1076x1928 24fps 5s → public/film/ch4b/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch4b","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),acac5afa,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job 77bb9981-2481-467a-a4dc-35ad5facacfd · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch4c,Motion test: ch4c Driver and tourists,ch4c.mp4,mp4 1076x1928 24fps 5s → public/film/ch4c/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch4c","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),9e5277f9,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job 086cd59b-bfa7-483f-a280-56b0590b577a · upgrade path: flux_3_video 1080p with start+end frames for the final
clip-ch5,Motion test: ch5 Airborne,ch5.mp4,mp4 1076x1928 24fps 5s → public/film/ch5/ 10fps 648x1152 webp q60,9:16,"pinned film, beat ch5","ch1 warm on load, rest lazy per beat",poster.jpg per beat,kling3_0_turbo 1080p 5s (10 credits),22618b80,key frame (start_image),"camera locked in the truck; per-beat action per 02; no zoom, no pan, no text","no text, no captions, no camera zoom, no pan, no exterior view","MOTION TEST PASS v1, live on the site",job 027cf5f3-a9b4-4e58-ac0f-b57e38856cfa · upgrade path: flux_3_video 1080p with start+end frames for the final
